participant_id,ISI,Seen,m,r
9036,59,0.9375,64,60
9036,100,1,64,64
9036,142,1,64,64
9036,200,1,64,64
9032,0,0.046875,64,3
9032,8.4,0.078125,64,5
9032,17,0.171875,64,11
9032,26,0.171875,64,11
9032,34,0.328125,64,21
9032,59,0.71875,64,46
9032,100,1,64,64
9032,142,0.984375,64,63
9032,200,1,64,64
9043,0,0.59375,64,38
9043,8.4,0.5,64,32
9043,17,0.671875,64,43
9043,26,0.765625,64,49
9043,34,0.90625,64,58
9043,59,0.890625,64,57
9043,100,1,64,64
9043,142,1,64,64
9043,200,1,64,64
9096,0,0,64,0
9096,8.4,0,64,0
9096,17,0,64,0
9096,26,0,64,0
9096,34,0.0625,64,4
9096,59,0.6875,64,44
9096,100,0.984375,64,63
9096,142,0.984375,64,63
9096,200,1,64,64
9041,0,0.046875,64,3
9041,8.4,0.078125,64,5
9041,17,0.125,64,8
9041,26,0.171875,64,11
9041,34,0.140625,64,9
9041,59,0.546875,64,35
9041,100,0.9375,64,60
9041,142,0.921875,64,59
9041,200,1,64,64
9042,0,0.515625,64,33
9042,8.4,0.515625,64,33
9042,17,0.734375,64,47
9042,26,0.828125,64,53
9042,34,0.8125,64,52
9042,59,0.984375,64,63
9042,100,1,64,64
9042,142,1,64,64
9042,200,1,64,64
9045,0,0.609375,64,39
9045,8.4,0.75,64,48
9045,17,0.75,64,48
9045,26,0.84375,64,54
9045,34,0.796875,64,51
9045,59,0.9375,64,60
9045,100,1,64,64
9045,142,0.984375,64,63
9045,200,1,64,64
9079,0,0.140625,64,9
9079,8.4,0,64,0
9079,17,0.03125,64,2
9079,26,0.078125,64,5
9079,34,0.25,64,16
9079,59,0.828125,64,53
9079,100,1,64,64
9079,142,1,64,64
9079,200,1,64,64
9097,0,0,64,0
9097,8.4,0.03125,64,2
9097,17,0.046875,64,3
9097,26,0.03125,64,2
9097,34,0.171875,64,11
9097,59,0.796875,64,51
9097,100,0.96875,64,62
9097,142,1,64,64
9097,200,0.984375,64,63
9082,0,0,64,0
9082,8.4,0,64,0
9082,17,0,64,0
9082,26,0.03125,64,2
9082,34,0.15625,64,10
9082,59,0.859375,64,55
9082,100,1,64,64
9082,142,1,64,64
9082,200,1,64,64
9095,0,0.09375,64,6
9095,8.4,0.125,64,8
9095,17,0.328125,64,21
9095,26,0.515625,64,33
9095,34,0.6875,64,44
9095,59,0.953125,64,61
9095,100,0.96875,64,62
9095,142,1,64,64
9095,200,1,64,64
9099,0,0,64,0
9099,8.4,0.0625,64,4
9099,17,0.03125,64,2
9099,26,0.015625,64,1
9099,34,0.046875,64,3
9099,59,0.25,64,16
9099,100,0.859375,64,55
9099,142,0.90625,64,58
9099,200,0.984375,64,63
1000,0,0.703125,64,45
1000,8.4,0.765625,64,49
1000,17,0.859375,64,55
1000,26,0.9375,64,60
1000,34,0.9375,64,60
1000,59,0.96875,64,62
1000,100,1,64,64
1000,142,1,64,64
1000,200,1,64,64
1001,0,0.015625,64,1
1001,8.4,0.015625,64,1
